,hv010,hv011,hv012,hv014,hv216
0,1,2,7,2,2
1,1,0,3,0,2
2,1,0,2,0,1
3,0,0,2,0,2
4,1,2,8,2,4
5,1,0,8,2,3
6,2,1,7,2,2
7,1,1,4,0,2
8,2,1,8,1,2
9,1,0,6,2,2
10,1,0,8,2,3
11,1,0,5,1,1
12,1,1,7,1,2
13,1,0,3,0,2
14,2,0,4,1,4
15,1,1,3,1,1
16,1,1,5,1,1
17,1,0,5,0,2
18,0,1,3,0,4
19,0,0,1,0,1
20,1,0,6,3,3
21,1,0,9,1,3
22,1,2,8,3,3
23,1,0,3,1,1
24,3,5,13,1,4
25,0,0,4,0,4
26,0,0,3,0,2
27,1,0,3,2,1
28,1,0,6,0,2
29,2,1,8,1,6
30,1,1,3,0,1
31,0,1,1,0,1
32,1,1,4,1,1
33,1,0,2,0,2
34,2,0,10,2,4
35,3,1,15,1,4
36,1,0,5,2,1
37,1,2,6,0,2
38,1,0,6,1,3
39,1,0,6,0,2
40,1,0,3,1,1
41,2,2,20,5,6
42,0,0,1,0,4
43,1,0,5,2,2
44,0,0,3,0,1
45,1,1,4,0,4
46,1,0,2,0,2
47,1,0,2,0,2
48,5,1,11,1,4
49,0,0,4,0,4
50,3,2,4,0,3
51,0,0,2,0,2
52,0,1,2,0,1
53,2,0,2,0,2
54,1,0,1,0,1
55,1,0,5,2,4
56,1,1,3,1,1
57,2,1,9,3,5
58,1,0,5,1,2
59,1,0,3,1,1
60,1,1,3,1,1
61,1,2,6,1,3
62,0,0,1,0,1
63,1,0,7,0,4
64,1,0,13,1,8
65,2,0,6,2,2
66,1,0,6,0,1
67,1,0,6,2,2
68,0,0,2,0,1
69,1,0,1,0,1
70,3,0,9,1,3
71,1,1,5,2,2
72,1,0,5,1,1
73,1,0,6,2,1
74,0,0,1,0,1
75,0,2,3,0,2
76,1,0,5,2,3
77,0,0,1,0,1
78,1,0,4,1,1
79,0,0,1,0,1
80,1,1,7,2,2
81,1,0,5,2,2
82,1,2,7,1,4
83,0,1,1,0,1
84,0,0,1,0,1
85,0,1,4,0,4
86,1,1,6,1,2
87,4,1,5,0,2
88,1,0,6,2,2
89,0,1,1,0,1
90,1,0,8,2,4
91,2,1,8,2,3
92,0,0,4,0,2
93,0,0,2,0,9
94,1,1,3,1,1
95,2,0,3,1,1
96,1,0,5,1,2
97,1,1,4,1,1
98,1,0,4,1,1
99,2,4,9,2,5
100,1,1,7,2,2
101,1,1,5,2,2
102,1,0,8,1,2
103,2,0,4,0,1
104,0,0,2,0,1
105,1,1,5,0,2
106,0,0,6,0,2
107,1,1,4,1,1
108,0,0,2,0,2
109,1,0,3,0,4
110,0,1,1,0,1
111,1,0,9,3,2
112,1,0,5,0,2
113,1,1,5,3,1
114,5,0,13,1,9
115,1,1,6,2,5
